node_id,node_name,start_lon,start_lat,end_lon,end_lat
10400029,Megenagna Terminal - Legedadi Mission,38.8026673,9.0203188,38.9074861,9.0818058
10400258,Megenagna Terminal - Aba Kiros Roundabout,38.8026673,9.0203188,38.8785328,9.0561234
10400405,Megenagna Terminal - Ayat Chefe Condominium,38.8026673,9.0203188,38.8946677,9.0113906
10406491,Ayat Chefe Condominium - 6 Kilo,38.8946677,9.0113906,38.7617178,9.0476858
10407732,Kotebe Teachers College - Piassa Arada,38.8466963,9.0342084,38.7522029,9.0365871
10410198,Piassa Arada - Brass Clinic (Bole),38.7522029,9.0365871,38.7929906,8.9904207
10441511,Legehar (Old Train Station) - Ayat Chefe Condominium,38.7533069,9.0109604,38.8946677,9.0113906
10458768,Shero Meda - Bole Millenium,38.7612538,9.0622823,38.7897496,8.9885373
10460046,Shero Meda - Abo Junction,38.7612538,9.0622823,38.7661044,8.9450003
10460168,Piassa Arada - Abo Junction,38.7522029,9.0365871,38.7661044,8.9450003
10460407,Yeka Abado - Megenagna,38.875565,9.0689298,38.8021491,9.0180934
10460602,Autobis Tera (2) - Alem Bank,38.7324012,9.0317912,38.6776598,9.0010346
10460963,Mexico - Haile Garment,38.7444332,9.0094665,38.7345586,8.9387647
10461811,Kara Kore - Autobis Tera (1),38.6817556,8.9755975,38.7323925,9.0330269
10465903,Yerer Goro - Megenagna,38.8294063,8.9913503,38.8021491,9.0180934
10466290,Mexico - Megenagna,38.7444332,9.0094665,38.8021491,9.0180934
10466725,Piassa Arada - Mebrat Condominium,38.7522029,9.0365871,38.7438796,8.9644773
10468435,Sansusi - Piassa Arada,38.6891023,9.0714186,38.7522029,9.0365871
10469388,Gurara - 4 Kilo,38.7893816,9.0626023,38.7632636,9.034462
10478792,Piassa Arada - Dil Ber,38.7522029,9.0365871,38.7374397,9.0710894
10479678,Shero Meda - Autobis Tera (3),38.7612538,9.0622823,38.7337775,9.0342308
10480005,Autobis Tera (1) - Abo Junction,38.7323925,9.0330269,38.7661044,8.9450003
10480336,Mexico - Alem Bank,38.7444332,9.0094665,38.6776598,9.0010346
10521543,Koye Feche - Megenagna,38.8270083,8.9045894,38.8021491,9.0180934
10521610,Summit Condominiums - Megenagna Terminal,38.8569749,8.9842709,38.8026673,9.0203188
10529108,Autobis Tera (2) - Kela,38.7324012,9.0317912,38.6101592,9.0576131
10529704,Saris Abo - Ayer Tena,38.7692016,8.9444277,38.6982193,8.9831093
10533497,Yeka Abado - Piassa Arada,38.875565,9.0689298,38.7522029,9.0365871
10533758,Megenagna Terminal - Aba Kiros Roundabout,38.8026673,9.0203188,38.8785328,9.0561234
10534180,Mexico - Lafto,38.7444332,9.0094665,38.744323,8.9473774
10534541,Shero Meda - Mexico,38.7612538,9.0622823,38.7444332,9.0094665
10534848,Piassa Arada - Marathon Motor (Megenagna),38.7522029,9.0365871,38.8000289,9.0224201
10535103,Autobis Tera - Asko,38.7321005,9.0347276,38.6928185,9.0654733
10541125,Sefera - Mexico,38.7346499,8.9208064,38.7444332,9.0094665
10541371,Piassa Arada - Jemmo 2,38.7522029,9.0365871,38.6879228,8.9606298
10542001,Mexico - Jemo 1,38.7444332,9.0094665,38.6959643,8.9538291
10542096,Merkato - Ashewa Meda,38.7312293,9.0337594,38.6653802,9.0326531
10542241,Kera - Addisu Gebeya,38.7484333,8.9866969,38.7374497,9.0594855
10547202,Hanna Mariam - Legehar (Old Train Station),38.8316144,9.0375551,38.7533069,9.0109604
10550063,Yeshi Debele - Autobis Tera,38.6954056,9.0195382,38.7321005,9.0347276
10550163,Winget - Ayer Tena,38.7138884,9.0554455,38.6982193,8.9831093
10550650,Tulu Dimtu - 6 Kilo,38.8041524,8.8556159,38.7617178,9.0476858
10551230,Shegole (Mender 7) - Autobis Tera,38.7266132,9.0641379,38.7321005,9.0347276
10551231,Sansusi - Autobis Tera,38.6891023,9.0714186,38.7321005,9.0347276
10551605,Eyesus - Autobis Tera,38.7715088,9.0649811,38.7321005,9.0347276
15625520,Ayer Tena - Piassa Arada,38.6982193,8.9831093,38.7522029,9.0365871
15656246,German Square - Autobis Tera,38.732897,8.9655968,38.7321005,9.0347276
16067901,Kality Menaheria - Autobis Tera,38.7705157,8.8974445,38.7321005,9.0347276
16068007,Kera - Addisu Gebeya,38.7484333,8.9866969,38.7374497,9.0594855
16068572,Mexico - Gelan Condominium,38.7444332,9.0094665,38.7837651,8.8856808
16068674,Kotebe Gebriel - Arat Kilo,38.8545188,9.036101,38.7633615,9.0319312
16068754,Legehar (Old Train Station) - Kara Kore,38.7533069,9.0109604,38.6817556,8.9755975
16068915,Yeshi Debele - St. George Church,38.6954056,9.0195382,38.7524175,9.0363938
16069113,Legehar (Old Train Station) - Gurara,38.7533069,9.0109604,38.7893816,9.0626023
16069192,Saris Abo - Shero Meda,38.7692016,8.9444277,38.7612538,9.0622823
16069231,Legehar (Old Train Station) - Alem Bank,38.7533069,9.0109604,38.6776598,9.0010346
16069472,Megenagna - Gurara,38.8021491,9.0180934,38.7893816,9.0626023
16069558,Autobis Tera - Alem Bank,38.7321005,9.0347276,38.6776598,9.0010346
16070513,Kara Kore - Autobis Tera,38.6817556,8.9755975,38.7321005,9.0347276
16070566,Menlik Hospital - Torhailoch,38.7719268,9.0388201,38.7216866,9.0119442
16071249,Ayer Tena - Abuare Roundabout,38.6982193,8.9831093,38.7757967,9.026427
16071322,Kera - Ayer Tena,38.7484333,8.9866969,38.6982193,8.9831093
16071554,Yerer Goro - Mexico,38.8294063,8.9913503,38.7444332,9.0094665
16071657,Bethel - Legehar (Old Train Station),38.6944335,9.0045877,38.7533069,9.0109604
16071828,Hana Mariam - Darmar,38.7544146,8.9309368,38.734809,9.0155412
16072018,Piassa Arada - Mikili Land,38.7522029,9.0365871,38.6987792,9.051327
16072169,Alem Bank - Ayer Tena,38.6776598,9.0010346,38.6982193,8.9831093
16072247,Jemmo 3 - Autobis Tera,38.6985348,8.9556244,38.7321005,9.0347276
16072458,Kara - Legehar (Old Train Station),38.8643277,9.0403987,38.7533069,9.0109604
16074160,Anfo Meda - Legehar (Old Train Station),38.6742682,9.021983,38.7533069,9.0109604
16074208,Saris Abo - Tulu Dimtu Adebabay,38.7692016,8.9444277,38.8201689,8.8747821
16074342,Sefera - Mexico,38.7346499,8.9208064,38.7444332,9.0094665
16074676,Dil Ber - Legehar (Old Train Station),38.7374397,9.0710894,38.7533069,9.0109604
16074771,Legehar (Old Train Station) - Sebeta,38.7533069,9.0109604,38.6221215,8.9114218
16074871,Gerji Mebrat Haile - Darmar,38.814876,9.003632,38.734809,9.0155412
16075030,Piassa Arada - Gefersa,38.7522029,9.0365871,38.642409,9.031909
16086556,Sansusi - Autobis Tera,38.6891023,9.0714186,38.7321005,9.0347276
16088269,Ayer Tena - Autobis Tera (2),38.6982193,8.9831093,38.7324012,9.0317912
16088616,Megenagna Terminal - Bole Arabsa,38.8026673,9.0203188,38.8906061,8.9720161
16088617,Shero Meda - Megenagna,38.7612538,9.0622823,38.8021491,9.0180934
16088618,Mexico - Hana Mariam (2),38.7444332,9.0094665,38.7440895,8.935835
16088619,Bole Millenium - 4 Kilo,38.7897496,8.9885373,38.7632636,9.034462
16112803,Gurara - Autobis Tera,38.7893816,9.0626023,38.7321005,9.0347276
16112804,Megenagna - Aleltu,38.8021491,9.0180934,39.1027184,9.1662839
16112805,Legehar (Old Train Station) - Akaki Korkoro,38.7533069,9.0109604,38.7961539,8.8597556
16112806,Sansusi - Piassa Arada,38.6891023,9.0714186,38.7522029,9.0365871
16113471,Shero Meda - Legehar (Old Train Station),38.7612538,9.0622823,38.7533069,9.0109604
16148441,Holeta - Merkato,38.497947,9.0675662,38.7312293,9.0337594
16148442,Legehar (Old Train Station) - Jemmo 3,38.7533069,9.0109604,38.6985348,8.9556244
16148443,Sululta - Autobis Tera,38.7589682,9.1824886,38.7321005,9.0347276
16151480,Summit Condominiums - Arat Kilo,38.8569749,8.9842709,38.7633615,9.0319312
16151481,Feli Doro - Autobis Tera,38.6853297,9.0353789,38.7321005,9.0347276
16239079,Saris Abo - Dukem,38.7692016,8.9444277,38.904499,8.7923056
16239080,Legehar (Old Train Station) - Debre Zeit,38.7533069,9.0109604,38.9919321,8.7420315
16290773,Addisu Gebeya - Bole Mickael,38.7374497,9.0594855,38.7772221,8.9816131
16290774,Legehar (Old Train Station) - Kara,38.7533069,9.0109604,38.8643277,9.0403987
